Site,Q_StartTime,Q_EndTime,Q_PeakTime,Q_Total_mm,Q_Runoff_mm,Q_Peak_cms.sqkm,Q_Peak_cfs,Q_Duration_hrs,Q_TimeToFlowPeak_hrs,Q_RiseRate_cms.hr,Q_PriorDry_hrs,Q_Runoff_PrecipRatio,Q_Total_PrecipRatio,Precip_StartTime,Precip_EndTime,Precip_Total_mm,Precip_Duration_hrs,Precip_PriorDry_hrs
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,11/5/2007 20:45,11/5/2007 21:55,0.508,1.17,230
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,11/6/2007 4:00,11/6/2007 4:45,3.302,0.75,6.08
Urban Control,11/9/2007 21:00,11/10/2007 7:45,11/9/2007 23:15,0.33,0.14,0.011,1.17,10.75,2.25,0.015,74.17,0.03156,0.0768,11/9/2007 8:30,11/9/2007 19:35,4.318,11.08,75.75
Urban Control,11/12/2007 1:50,11/12/2007 22:05,11/12/2007 7:15,1.21,0.59,0.027,2.95,20.25,5.42,0.015,42,0.05205,0.10583,11/11/2007 21:30,11/12/2007 7:30,11.43,10,13.58
Urban Control,11/13/2007 9:40,11/13/2007 19:40,11/13/2007 10:30,0.49,0.19,0.019,2.04,10,0.83,0.07,11.5,0.04017,0.10173,11/13/2007 6:05,11/13/2007 7:55,4.826,1.83,22.58
Urban Control,11/15/2007 4:30,11/17/2007 6:45,11/15/2007 6:30,5.79,2.83,0.085,9.35,50.25,2,0.132,32.75,0.10703,0.21905,11/15/2007 1:15,11/15/2007 9:55,26.416,8.67,41.33
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,11/19/2007 22:30,11/20/2007 2:20,0.508,3.83,108.58
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,11/26/2007 1:20,11/26/2007 1:55,0.762,0.58,83
Urban Control,12/2/2007 21:05,12/4/2007 6:00,12/3/2007 0:00,2.68,1.26,0.089,9.73,32.92,2.92,0.094,137.42,0.06772,0.14463,12/2/2007 14:50,12/3/2007 1:25,18.542,10.58,136.42
Urban Control,12/8/2007 4:35,12/8/2007 23:30,12/8/2007 14:15,1.1,0.44,0.024,2.62,18.92,9.67,0.008,56.5,0.03567,0.08824,12/8/2007 2:40,12/8/2007 12:55,12.446,10.25,14.75
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/9/2007 4:45,12/9/2007 10:40,1.778,5.92,15.83
Urban Control,12/9/2007 23:25,12/10/2007 14:15,12/10/2007 7:30,0.76,0.2,0.018,1.96,14.83,8.08,0.007,23.83,0.04687,0.17714,12/9/2007 21:40,12/10/2007 6:45,4.318,2.42,11
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/10/2007 18:45,12/11/2007 0:00,1.524,5.25,12
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/13/2007 8:55,12/13/2007 15:20,1.778,6.42,56.92
Urban Control,12/15/2007 23:00,12/18/2007 7:00,12/16/2007 4:00,11.13,6.12,0.242,26.5,56,5,0.15,128.67,0.15245,0.27741,12/15/2007 22:05,12/16/2007 16:20,40.132,18.25,41.83
Urban Control,12/23/2007 15:30,12/24/2007 3:00,12/23/2007 17:00,0.58,0.23,0.02,2.22,11.5,1.5,0.042,128.42,0.0418,0.1038,12/23/2007 5:20,12/23/2007 18:00,5.588,12.67,157
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/26/2007 14:55,12/26/2007 19:25,2.54,4.5,68.92
Urban Control,12/28/2007 21:00,12/29/2007 21:45,12/28/2007 23:45,2.01,0.95,0.041,4.49,24.75,2.75,0.046,48.92,0.07986,0.1687,12/28/2007 19:25,12/29/2007 3:55,11.938,8.5,48
Urban Control,12/30/2007 21:55,12/31/2007 18:50,12/31/2007 0:30,1.75,0.8,0.043,4.73,20.92,2.58,0.052,24.08,0.08119,0.17655,12/30/2007 15:20,12/31/2007 1:15,9.906,9.92,35.42
Urban Control,1/6/2008 6:00,1/6/2008 14:45,1/6/2008 7:30,0.36,0.11,0.012,1.36,8.75,1.5,0.026,131.08,0.02601,0.083,1/6/2008 0:20,1/6/2008 5:50,4.318,5.5,143.08
Urban Control,1/11/2008 12:40,1/11/2008 18:20,1/11/2008 13:30,0.23,0.07,0.012,1.29,5.67,0.83,0.044,117.83,0.00924,0.03199,1/10/2008 17:40,1/11/2008 11:40,7.112,18,107.83
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1/14/2008 7:00,1/14/2008 7:20,0.508,0.33,67.33
Urban Control,1/17/2008 20:20,1/19/2008 1:35,1/18/2008 17:00,1.67,0.54,0.021,2.32,29.25,20.67,0.003,145.92,0.03733,0.11505,1/18/2008 9:35,1/18/2008 16:30,14.478,6.92,68.67
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1/19/2008 8:55,1/19/2008 13:40,3.302,4.75,16.42
Urban Control,1/29/2008 14:35,1/30/2008 9:55,1/30/2008 4:30,0.81,0.25,0.016,1.71,19.33,13.92,0.003,252.92,0.02805,0.09127,1/29/2008 6:55,1/30/2008 3:00,8.89,20.08,233.25
Urban Control,2/1/2008 6:50,2/4/2008 2:05,2/1/2008 15:15,18.76,10.41,0.297,32.5,67.25,8.42,0.109,44.83,0.31527,0.56827,2/1/2008 7:10,2/1/2008 15:05,33.02,7.92,52.17
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/4/2008 7:05,2/4/2008 9:25,1.778,2.33,64
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/6/2008 22:30,2/6/2008 22:35,1.524,0.08,7.67
Urban Control,2/13/2008 1:30,2/16/2008 0:05,2/13/2008 12:30,9.47,4.31,0.152,16.6,70.58,11,0.043,177.42,0.27342,0.6013,2/13/2008 5:55,2/13/2008 15:40,15.748,9.75,151.33
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/22/2008 12:50,2/22/2008 15:55,2.54,3.08,25.92
